"","District","value.ID","value.O3_column_number_density","month","year","o3"
"508","moshi",1,118186.8515625,"05","2019","O3"
"509","moshi",1,117871.09375,"05","2019","O3"
"510","moshi",1,117523.9921875,"05","2019","O3"
"511","moshi",1,117523.9921875,"05","2019","O3"
"512","moshi",1,117610.46875,"05","2019","O3"
"513","moshi",1,117615.6796875,"05","2019","O3"
"514","moshi",1,117125.0234375,"06","2019","O3"
"515","moshi",1,117125.0234375,"06","2019","O3"
"516","moshi",1,117125.0234375,"06","2019","O3"
"517","moshi",1,117125.0234375,"06","2019","O3"
"518","moshi",1,117125.0234375,"06","2019","O3"
"519","moshi",1,117055.7890625,"06","2019","O3"
"520","moshi",1,117612.4140625,"06","2019","O3"
"521","moshi",1,117125.0234375,"06","2019","O3"
"522","moshi",1,117125.0234375,"06","2019","O3"
"523","moshi",1,117125.0234375,"06","2019","O3"
"524","moshi",1,117137.25,"06","2019","O3"
"525","moshi",1,117150.2421875,"06","2019","O3"
"526","moshi",1,117269.765625,"06","2019","O3"
"527","moshi",1,117275.796875,"06","2019","O3"
"528","moshi",1,117826.8203125,"06","2019","O3"
"529","moshi",1,117850.4453125,"06","2019","O3"
"530","moshi",1,117745.2890625,"06","2019","O3"
"531","moshi",1,117391.8671875,"06","2019","O3"
"532","moshi",1,117715.9453125,"06","2019","O3"
"533","moshi",1,117715.9453125,"06","2019","O3"
"534","moshi",1,117455.796875,"06","2019","O3"
"535","moshi",1,117275.796875,"06","2019","O3"
"536","moshi",1,117275.796875,"06","2019","O3"
"537","moshi",1,117275.796875,"06","2019","O3"
"538","moshi",1,117272.3125,"06","2019","O3"
"539","moshi",1,117274.171875,"06","2019","O3"
"540","moshi",1,118080.2265625,"06","2019","O3"
"541","moshi",1,118261.015625,"06","2019","O3"
"542","moshi",1,117761.8203125,"06","2019","O3"
"543","moshi",1,117759.359375,"06","2019","O3"
"544","moshi",1,117759.359375,"06","2019","O3"
